node_id,x0,x1,x2,x3,x4,parent_id
53,-25.39845224,-20.9283506,-12.10421495,4.81749647,17.67211943,46
54,-35.21034279,-36.45007642,-6.205788213,8.289867161,16.10463979,6
55,20.10257932,-34.93630927,-3.531910907,0.1583319647,37.7633203,48
56,-10.3944815,-2.704742808,-10.13152512,-2.093301549,39.23947774,156
57,-31.10525994,4.561340229,-0.4846873579,-4.463103106,39.03346738,63
58,-38.93128412,-2.883667142,5.22073036,-5.861178405,18.47572198,46
59,-43.1893391,-22.35864088,-6.522568414,-0.1889867779,22.2633369,2
60,-21.95876165,-6.388539195,-0.5912950661,1.889803105,37.19260197,50
61,-46.3126413,-2.780551674,7.756867443,-1.09492732,25.77815899,197
62,-42.96188256,-42.47646974,7.257223368,-8.241657039,14.61150159,12
63,-37.6509793,-10.24401018,-4.032422928,-0.4809032779,22.84533045,197
64,-44.81773432,-12.11484599,-0.6424067103,-7.409586726,10.69351737,2
65,-38.93286813,15.2327515,-6.794443532,4.037102907,39.76820823,78
66,-39.83381463,-47.64750413,2.634830775,1.484835058,28.78107447,0
67,-32.36809547,2.067871048,-0.08504692601,6.668139799,22.78137495,198
68,-23.40815979,-24.68226285,4.811662314,-6.624141001,25.84579581,91
69,-16.73106177,-13.42435821,3.115119865,-4.211456456,20.8154088,259
70,-47.96668393,-7.694540712,8.389468842,-7.960603178,18.01666397,46
71,-30.57570312,-46.04303837,3.195876958,6.37038475,36.30126167,0
72,-37.17223884,-33.77213228,-5.241867772,-0.4972382888,33.62160716,0
73,-48.60321116,7.209799093,1.675049791,-1.274194744,34.24483286,231
74,-47.75861934,-48.35919148,0.4200802827,8.412984696,18.02400814,39
75,-28.4267221,10.91884941,-4.81879442,-8.938963895,29.91215463,5
76,-33.70415284,-25.39837485,-3.878580736,8.255880877,32.74139134,6
77,-48.46533993,-26.50944492,6.527980846,-6.059748903,34.96634481,39
78,-41.60474906,1.374114934,-0.499586582,-2.300219139,28.63102745,198
79,-41.8444033,-39.89580814,3.939001943,6.619997726,33.6485317,0
80,-20.85945963,5.696499327,-1.642044665,-5.17397068,37.71563891,172
81,-19.55373849,-44.34465621,-5.281255841,-2.805846188,21.69647315,23
82,-33.17208716,-28.22551048,-3.764873264,-2.356323301,16.1552726,6
83,-46.78315529,-30.57242724,-4.790047579,9.060693283,12.28941464,2
84,-19.30846685,-15.86921107,-5.837569909,8.600052944,32.6095252,82
85,-37.68125876,-43.01479181,-10.61344762,7.777947565,16.98351944,39
86,-14.92404233,-27.5014994,-8.25495074,-0.9059899375,16.26660462,21
87,-40.79575124,-11.75225557,5.961609083,4.864527732,35.34309728,2
88,-46.78082852,-44.23523387,5.939911269,-1.519896196,32.47009592,11
89,-2.50445235,-35.27126858,4.911363912,3.012352843,20.02642039,86
90,-14.59073586,-26.01160103,3.991873557,-3.262539854,20.10255826,21
91,-26.14596802,-33.29648677,1.480001242,-1.065389899,18.24138048,6
92,-26.79748601,-45.21321495,3.512372506,-3.914445198,19.71314835,12
93,5.831575559,-41.50938266,-9.973284935,3.934054463,24.31777154,217
94,-14.5342782,-36.00014578,-7.455858715,-2.126472149,25.72573846,184
95,-45.14918392,-34.223341,-2.183485575,-7.142418256,30.32808277,11
96,0.07527663842,-16.71988236,-9.558004408,-2.468817894,32.2176666,22
97,-23.17942966,-16.78447778,9.517488454,-0.6150258964,33.71276084,140
98,-29.86968479,-41.1325494,3.585508481,7.365706587,11.22990469,6
99,-4.013200781,-11.74548057,0.2206027998,3.478338196,28.7258313,189
100,-40.97584912,-39.50598314,-2.089924323,4.813380305,23.72684557,39
101,-17.67345754,-35.23648027,3.340385718,-3.74745585,30.75653813,184
102,-43.89745304,11.5949177,-6.938845954,8.205720006,39.36863363,78
103,-44.55084783,-31.44170453,7.700704967,10.34451105,25.69911914,0
104,-48.22552367,-2.829865903,-5.700136354,4.861907465,25.11751638,203
105,-45.39965316,-30.91193944,-4.617618057,-4.790890505,4.309027551,0
106,-35.48645498,19.49371233,1.801159772,-2.071529821,33.64569101,78
107,-23.79980221,-40.04836268,8.89827857,-0.9196650497,28.40225486,131
108,-37.93504258,-31.74899453,-7.538767429,-5.756371258,14.69021134,39
109,-35.88411365,-13.39601617,-1.404076091,-2.5061903,11.58101803,2
